entity,defination
异常,在程序运行过程中，经常会遇到各种各样的错误，这些错误统称为“异常”。
异常处理语句,-
try-except语句,在Python中，提供了try-except语句捕获并处理异常。在使用时，把可能产生异常的代码放在try语句块中，把处理结果放在except语句块中，这样，当try语句块中的代码岀现错误时，就会执行except语句块中的代码，如果try语句块中的代码没有错误，那么except语句块将不会执行。
try-except-else语句,在Python中，还有另一种异常处理结构，它是try-except-else语句，也就是在原来try-except语句的基础上再添加一个else子句，用于指定当try语句块中没有发现异常时要执行的语句块。该语句块中的内容当try语句中发现异常时，将不被执行。
try-except-finally语句,完整的异常处理语句应该包含finally代码块，通常情况下，无论程序中有无异常产生，finally代码块中的代码都会被执行。
raise语句,如果某个函数或方法可能会产生异常，但不想在当前函数或方法中处理这个异常，则可以使用raise语句在函数或方法中抛出异常。
程序调试,-
assert语句,Python提供了assert语句来调试程序。assert的中文意思是断言，它一般用于对程序某个时刻必须满足的条件进行验证。
